Country,2012,2016,2020
Afghanistan,1,1,1
Algeria,3,3,2
Argentina,49,58,55
Armenia,6,6,8
Australia,139,129,133
Austria,4,4,4
Azerbaijan,7,8,8
Bahamas,6,5,6
Barbados,1,1,1
Belarus,22,27,28
Belgium,6,6,6
Bermuda*,1,1,1
Brazil,60,68,73
Bulgaria,11,7,7
Burundi,1,1,1
Cameroon,4,4,1
Canada,34,37,40
Chile,4,4,2
China,153,153,159
Colombia,2,2,2
Costa Rica,1,1,1
Cote d'Ivoire,1,1,1
Croatia,23,11,7
Cuba,52,50,51
Czech Republic,9,9,8
Czechoslovakia,1,1,1
Denmark,26,19,18
Djibouti,1,1,1
Dominican Republic,2,2,2
East Germany,1,1,1
Ecuador,1,1,1
Egypt,2,2,2
Eritrea,1,1,1
Estonia,3,4,4
Ethiopia,8,8,8
Finland,6,5,6
France,60,73,82
Georgia,8,6,7
Germany,136,135,119
Ghana,1,1,1
Greece,24,11,12
Guyana,1,1,1
Hong Kong*,1,1,1
Hungary,41,29,22
Iceland,9,11,11
Independent Olympic Participants (1992),1,1,1
India,3,3,4
Indonesia,8,8,8
Iran,4,3,3
Ireland,3,3,3
Israel,2,2,2
Italy,60,55,48
Jamaica,11,13,15
Japan,54,56,53
Kazakhstan,11,11,12
Kenya,11,11,13
"Korea, North",6,7,7
"Korea, South",62,79,95
Kuwait,1,1,1
Kyrgyzstan,2,2,2
Latvia,4,4,4
Lebanon,1,1,1
Lithuania,8,7,6
Macedonia,1,1,1
Malaysia,1,1,1
Mauritius,1,1,1
Mexico,6,5,5
Moldova,2,1,1
Mongolia,4,4,5
Morocco,3,3,3
Mozambique,1,1,1
Namibia,1,1,1
Netherlands,80,66,55
Netherlands Antilles*,1,1,1
New Zealand,10,10,11
Nigeria,19,23,25
Norway,21,23,24
Pakistan,1,1,1
Panama,1,1,1
Paraguay,7,2,2
Peru,1,1,1
Philippines,1,1,1
Poland,14,23,24
Portugal,3,3,3
Puerto Rico*,1,1,1
Qatar,1,1,1
Romania,30,24,18
Russia,143,135,115
Saudi Arabia,1,1,1
Senegal,1,1,1
Serbia,11,12,16
Singapore,3,3,3
Slovakia,8,9,9
Slovenia,5,6,6
South Africa,4,3,2
Soviet Union,1,1,1
Spain,57,65,65
Sri Lanka,1,1,1
Sudan,1,1,1
Suriname,1,1,1
Sweden,12,9,8
Switzerland,11,10,10
Syria,1,1,1
Taiwan,6,6,5
Tajikistan,2,2,2
Tanzania,1,1,1
Thailand,5,5,5
Togo,1,1,1
Tonga,1,1,1
Trinidad and Tobago,5,5,6
Tunisia,1,1,1
Turkey,8,9,9
Uganda,1,1,1
Ukraine,38,39,32
Unified team,1,1,1
United Arab Emirates,1,1,1
United Kingdom,64,69,94
United States,263,261,261
Uruguay,1,1,1
Uzbekistan,6,7,7
Venezuela,1,1,2
Vietnam,1,1,1
Virgin Islands*,1,1,1
West Germany,1,1,1
Yugoslavia,10,8,1
Zambia,1,1,1
Zimbabwe,4,5,5
